Monday_Date,Monday_Open,Friday_Close,Weekly_Sentiment,RF_Prediction,Weekly_Volatility,Trend
03-01-2022,338.2999878,331.7900085,0,331.8532056,3.197195224,Bullish
10-01-2022,325.3099976,331.8999939,0,331.3328979,1.532292521,Bearish
24-01-2022,297.8399963,301.7099915,0,299.8230957,1.308160783,Bearish
31-01-2022,300.6799927,237.0899963,0,258.6466972,14.50636517,Bearish
07-02-2022,237.699997,219.5500031,0,220.876602,3.301977928,Bearish
14-02-2022,219.3099976,206.1600037,0,207.8939038,1.961968438,Bearish
28-02-2022,207.6799927,200.0599976,0,201.9936986,2.133772236,Bearish
07-03-2022,200.7899933,187.6100006,0,189.9459016,3.078487012,Bullish
14-03-2022,187.0299988,216.4900055,0,212.6222035,1.956011508,Bullish
21-03-2022,214.5,221.8200073,0,220.0093069,2.048127934,Bullish
28-03-2022,222.1300049,224.8500061,0,225.3024048,1.639918609,Bearish
04-04-2022,225.9799957,222.3300018,0,223.5836005,1.735289585,Bearish
18-04-2022,210,184.1100006,0,189.6771008,1.97184067,Bullish
25-04-2022,182.7299957,200.4700012,0,194.8325999,10.87020316,Bullish
02-05-2022,201.1699982,203.7700043,0,206.324503,6.337996315,Bearish
09-05-2022,199.8399963,198.6199951,0,196.9566971,2.754378204,Bearish
16-05-2022,197.0500031,193.5399933,0,194.058494,2.04280156,Bullish
23-05-2022,195.1900024,195.1300049,0,191.8860037,3.464851834,Bearish
06-06-2022,193.9900055,175.5700073,0,181.113004,4.149194652,Bearish
13-06-2022,170.5899963,163.7400055,0,164.8591049,4.3750101,Bearish
27-06-2022,171.3200073,160.0299988,0,160.6894992,1.634719901,Bullish
11-07-2022,167.0700073,164.699997,0,163.672099,2.071726837,Bullish
18-07-2022,166.75,169.2700043,0,173.2930023,2.652666063,Bearish
25-07-2022,169,159.1000061,0,161.1904045,5.643701983,Bullish
01-08-2022,157.25,167.1100006,0,167.7642021,1.954379354,Bullish
08-08-2022,168,180.5,0,179.1235008,2.912537654,Bearish
15-08-2022,178.9600067,167.9600067,0,169.916306,1.224959867,Bearish
22-08-2022,165.4900055,161.7799988,0,162.3712987,1.790180811,Bearish
29-08-2022,160.6600037,160.3200073,0,160.5364055,1.012496043,Bearish
12-09-2022,167.3899994,146.2899933,0,147.369796,1.779426003,Bearish
19-09-2022,145.2400055,140.4100037,0,141.3799026,1.663936664,Bearish
26-09-2022,140.1199951,135.6799927,0,136.2307947,4.4713824,Bearish
03-10-2022,137.1399994,133.449997,0,135.1200986,0.452280879,Bearish
10-10-2022,133.5500031,126.7600021,0,127.4768003,2.4614736,Bullish
17-10-2022,130.3000031,130.0099945,0,130.7737952,0.788552509,Bearish
24-10-2022,127.25,99.19999695,0,106.4409975,13.7520516,Bearish
31-10-2022,98.22000122,90.79000092,0,90.4987014,1.443010564,Bullish
07-11-2022,94.77999878,113.0199966,0,111.4964983,4.195021939,Bearish
14-11-2022,110.9899979,112.0500031,0,112.643502,1.024018807,Bearish
21-11-2022,111.5199966,111.4100037,0,111.5162027,0.360162002,Bullish
28-11-2022,110.7799988,123.4899979,0,121.8692987,2.663964494,Bearish
05-12-2022,121.75,115.9000015,0,115.5546014,2.151218511,Bullish
12-12-2022,115.1800003,119.4300003,0,119.4820005,4.179605083,Bearish
19-12-2022,116.8300018,118.0400009,0,117.8734003,2.65392597,Bullish
09-01-2023,131.1600037,136.9799957,0,136.3718982,1.395670294,Bullish
23-01-2023,139.2899933,151.7400055,0,149.1084039,2.895011288,Bullish
30-01-2023,149.4100037,186.5299988,0,183.4485997,10.96792433,Bearish
06-02-2023,186.5299988,174.1499939,0,176.9438945,1.290081075,Bearish
13-02-2023,178.2200012,172.8800049,0,173.1988039,1.106375596,Bullish
27-02-2023,171.8800049,185.25,0,182.0226999,0.762437794,Bearish
06-03-2023,188,179.5099945,0,180.9305956,1.107512112,Bullish
13-03-2023,177.9600067,195.6100006,0,197.8101988,0.956854695,Bullish
20-03-2023,198.4799957,206.0099945,0,204.9953957,1.611197479,Bullish
27-03-2023,204.8099976,211.9400024,0,210.0070007,0.613010746,Bullish
10-04-2023,214.7100067,221.4900055,0,220.2644051,1.824802341,Bearish
17-04-2023,219.7899933,212.8899994,0,213.148201,0.23826782,Bullish
24-04-2023,213.6799927,240.3200073,0,235.815305,7.513612631,Bearish
01-05-2023,238.6199951,232.7799988,0,233.6277002,0.249939736,Bullish
08-05-2023,231.4199982,233.8099976,0,233.8024979,0.727640569,Bullish
15-05-2023,236.9199982,245.6399994,0,245.5389014,0.468918943,Bullish
22-05-2023,245.4100037,262.0400085,0,258.3406076,0.559990982,Bullish
05-06-2023,270.2999878,264.9500122,0,265.2221069,1.502648755,Bullish
12-06-2023,267.1700134,281,0,280.5622977,1.542185425,Bullish
26-06-2023,288.7000122,286.980011,0,286.0867075,1.160104814,Bullish
03-07-2023,286.7000122,290.5299988,0,291.1453961,1.86394559,Bullish
10-07-2023,295.5499878,308.8699951,0,309.7795969,1.131273914,Bearish
17-07-2023,307.5400085,294.2600098,0,298.8943048,3.113609147,Bullish
24-07-2023,295.7799988,325.480011,0,320.5259064,1.872541848,Bearish
31-07-2023,323.6900024,310.730011,0,311.639408,0.983896213,Bearish
07-08-2023,313.230011,301.6400147,0,302.9246082,1.320666578,Bearish
14-08-2023,300.980011,283.25,0,284.8106,0.580467238,Bullish
21-08-2023,283.4500122,285.5,0,287.1697986,2.43669073,Bullish
28-08-2023,288,296.3800049,0,296.1957068,0.663549883,Bullish
11-09-2023,301.4100037,300.3099976,0,301.6422989,1.227920298,Bearish
18-09-2023,298.1900024,299.0799866,0,299.8392932,0.462914849,Bullish
25-09-2023,295.6400147,300.2099915,0,299.9266913,1.525036627,Bullish
02-10-2023,302.7399902,315.4299927,0,312.3789929,0.79790858,Bearish
09-10-2023,312.5,314.6900024,0,318.0951035,1.61448589,Bearish
16-10-2023,318.6400147,308.6499939,0,312.1359955,0.53639636,Bearish
23-10-2023,309.5,296.730011,0,296.3292081,0.692671952,Bullish
30-10-2023,299.0899963,314.6000061,0,313.0873032,1.794929651,Bullish
06-11-2023,315.980011,328.769989,0,326.2706903,0.172589607,Bullish
13-11-2023,326.2000122,335.0400085,-0.026591124,335.0079053,0.689293861,Bullish
20-11-2023,334.8900147,338.230011,0.665621219,338.5717075,1.108913543,Bearish
27-11-2023,336.1799927,324.8200073,-0.455584962,326.4743051,0.596116615,Bullish
